StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q28,Q20,Q21,Q21_4_TEXT,Q17_1,Q18,Q19,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q1_1,Q26,Q3,Q7,Q6,Q5,Q11,Q8,Q13,Q16,Q23
2024-03-12 10:03:44,2024-03-12 10:09:57,IP Address,136.152.215.249,100,373,True,2024-03-12 10:09:57,R_72Jrwkiu3L2WUMw,,,,,37.8736,-122.257,anonymous,EN,N/A,18-24 years old,Female,,-2,No,,5,3,2,4,1,1,"I strongly believe that intervention should be carefully thought out and should be the last resort ",The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should Intervene,The US Should Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should Intervene,The US Should *NOT* Intervene,The US Should Intervene
2024-03-12 10:06:56,2024-03-12 10:10:21,IP Address,136.152.215.3,100,205,True,2024-03-12 10:10:22,R_6dWOrQieOARR8ao,,,,,37.8736,-122.257,anonymous,EN,N/A,18-24 years old,Male,,0,Yes,Kuwait,1,3,4,2,5,1,other priorities,The US Should Intervene,The US Should *NOT* Intervene,The US Should Intervene,The US Should Intervene,The US Should *NOT* Intervene,The US Should Intervene,The US Should Intervene,The US Should Intervene,The US Should Intervene
2024-03-12 10:08:54,2024-03-12 10:11:53,IP Address,174.195.82.159,100,179,True,2024-03-12 10:11:53,R_72DkHJeoQTOx5Ie,,,,,37.7585,-122.1856,anonymous,EN,N/A,18-24 years old,Female,,-3,Yes,United States,1,4,3,5,2,2,Prioritize citizens first,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should Intervene,The US Should Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should Intervene
2024-03-12 10:07:20,2024-03-12 10:12:03,IP Address,136.152.215.170,100,282,True,2024-03-12 10:12:03,R_2f82zHwJ5S9KWHI,,,,,37.8736,-122.257,anonymous,EN,,18-24 years old,Female,,-2,No,,2,4,1,5,3,2,"I think that environmental issues and the overall interests of all countries matter the most, especially because of global warming and the fact that we are all at risk regardless if we do not do something about the environment.",The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should Intervene,The US Should Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should Intervene,The US Should Intervene,The US Should Intervene
2024-03-12 10:06:22,2024-03-12 10:12:34,IP Address,136.152.215.53,100,371,True,2024-03-12 10:12:34,R_7OJqIRHO7nJrzOT,,,,,37.8736,-122.257,anonymous,EN,vsgvf8,18-24 years old,Female,,-2,No,,1,4,3,5,2,1,"national security is always important, and can be useful to maintain the population safe from threats as long as the humanity of people is not being degraded. ",The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should Intervene,The US Should Intervene,The US Should *NOT* Intervene,The US Should Intervene,The US Should *NOT* Intervene,The US Should Intervene
2024-03-12 10:06:51,2024-03-12 10:12:49,IP Address,136.152.215.20,100,357,True,2024-03-12 10:12:49,R_5CIfAHZ02fn6jBO,,,,,37.8736,-122.257,anonymous,EN,303899,18-24 years old,Male,,-3,No,,4,3,1,5,2,1,"Human rights is the bare minimum of humanity. However I did not strongly support because the idea of intervention is always in a form of domination. So I believe in protecting human rights where I hold worry is how Nation-States go about defending those rights  ",The US Should *NOT* Intervene,The US Should Intervene,The US Should Intervene,The US Should Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should Intervene,The US Should Intervene
2024-03-12 10:08:26,2024-03-12 10:13:47,IP Address,136.152.215.35,100,321,True,2024-03-12 10:13:48,R_7kAnOzNuRjPviDU,,,,,37.8736,-122.257,anonymous,EN,l8fkdk,18-24 years old,Female,,-2,Yes,Malawi,4,1,5,3,2,2,"from Obersvation of when countries become concerned in intervention when there is crisis or conflict in that country. ",The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should Intervene,The US Should *NOT* Intervene,The US Should Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should Intervene
2024-03-12 10:10:51,2024-03-12 10:14:11,IP Address,136.152.215.34,100,199,True,2024-03-12 10:14:11,R_3YRG4R5DO1qsmv7,,,,,37.8736,-122.257,anonymous,EN,N/A,18-24 years old,Female,,-3,No,,2,5,1,4,3,2,"In my opinion, without the Earth, we have nothing. We need to take care of our planet first.",The US Should Intervene,The US Should *NOT* Intervene,The US Should Intervene,The US Should Intervene,The US Should Intervene,The US Should *NOT* Intervene,The US Should Intervene,The US Should Intervene,The US Should Intervene
2024-03-12 10:10:43,2024-03-12 10:15:02,IP Address,136.152.215.77,100,259,True,2024-03-12 10:15:03,R_2TRcFeaMPMrzodb,,,,,37.8736,-122.257,anonymous,EN,fzue8d,18-24 years old,Female,,-3,No,,2,4,3,5,1,2,"I think that human rights should be prioritized above all else. ",The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should Intervene,The US Should Intervene,The US Should Intervene,The US Should *NOT* Intervene,The US Should Intervene,The US Should Intervene,The US Should Intervene
2024-03-12 11:08:05,2024-03-12 11:12:51,IP Address,136.24.201.207,100,285,True,2024-03-12 11:12:52,R_5DSVEMGPAcFtuXs,,,,,37.8657,-122.2571,anonymous,EN,N/A,18-24 years old,Male,,2,Yes,"Brazil ",2,5,4,3,1,1,"Without democracy we have nothing ",The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should Intervene,The US Should Intervene,The US Should Intervene,The US Should *NOT* Intervene,The US Should Intervene,The US Should Intervene,The US Should Intervene
2024-03-12 11:33:31,2024-03-12 11:42:28,IP Address,104.28.111.145,100,536,True,2024-03-12 11:42:28,R_5PTrk7TPVTzbeM6,,,,,34.1027,-118.2231,anonymous,EN,N/A,45-54 years old,Female,,-1,Yes,Iran,2,3,4,5,1,2,"When a nation is unable to solve its own problems, the UN should intervene. However, I am strongly against intervening to make another war.",The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should Intervene,The US Should Intervene,The US Should Intervene
2024-03-12 11:50:12,2024-03-12 11:56:55,IP Address,80.187.122.231,100,403,True,2024-03-12 11:56:56,R_2CdZrCH9XG6wDkl,,,,,50.7617,7.0512,anonymous,EN,,45-54 years old,Male,,-1,Yes,Iran,1,2,4,5,3,1,People rights and lives matter,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should Intervene,The US Should Intervene
2024-03-12 13:03:16,2024-03-12 13:07:29,IP Address,136.152.215.132,100,252,True,2024-03-12 13:07:30,R_3GEyFvfjo3tHrah,,,,,37.8736,-122.257,anonymous,EN,n/a,18-24 years old,Female,,-3,No,,5,3,2,4,1,2,I strongly support the protection of human rights even in countries that are not the U.S.,The US Should *NOT* Intervene,The US Should Intervene,The US Should *NOT* Intervene,The US Should Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should Intervene,The US Should Intervene,The US Should Intervene
2024-03-12 13:48:19,2024-03-12 13:51:27,IP Address,136.152.215.67,100,187,True,2024-03-12 13:51:27,R_18uVJHDht0It4Vb,,,,,37.8736,-122.257,anonymous,EN,n/a,18-24 years old,Female,,-3,No,,2,4,3,5,1,1,"i think that human rights should be the top priority for all nations. ",The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should Intervene,The US Should Intervene,The US Should Intervene,The US Should *NOT* Intervene,The US Should Intervene,The US Should Intervene,The US Should Intervene
2024-03-12 13:52:09,2024-03-12 13:55:17,IP Address,136.152.215.47,100,188,True,2024-03-12 13:55:17,R_3kAlIa8hv2aMZwl,,,,,37.8736,-122.257,anonymous,EN,9deu1y,18-24 years old,Female,,-2,No,,1,2,4,5,3,1,"I think national security is an extremely important factor in foreign policy, because without national security, each nation might engage in more war than is ",The US Should Intervene,The US Should *NOT* Intervene,The US Should Intervene,The US Should Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should Intervene
2024-03-12 13:53:00,2024-03-12 13:56:00,IP Address,136.152.215.107,100,179,True,2024-03-12 13:56:00,R_2L0FgJOuo4oDwd7,,,,,37.8736,-122.257,anonymous,EN,f6aaww,18-24 years old,Female,,-2,Yes,United Arab Emirates,3,2,5,4,1,2,"I believe human rights and democracy should be at the forefront of every state's thinking. ",The US Should Intervene,The US Should Intervene,The US Should Intervene,The US Should Intervene,The US Should *NOT* Intervene,The US Should Intervene,The US Should Intervene,The US Should Intervene,The US Should Intervene
2024-03-12 13:54:01,2024-03-12 13:57:24,IP Address,136.152.215.79,100,202,True,2024-03-12 13:57:24,R_2INAy9DXuGiCgaB,,,,,37.8736,-122.257,anonymous,EN,19ivue,18-24 years old,Male,,-2,No,,4,5,1,3,2,1,"Environmental issues effect everyone ",The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should Intervene,The US Should Intervene
2024-03-12 13:53:58,2024-03-12 13:58:57,IP Address,136.152.209.196,100,299,True,2024-03-12 13:58:58,R_2L6kgM2UmVIZKCU,,,,,37.8657,-122.2571,anonymous,EN,e5zx6o,18-24 years old,Female,,-2,Yes,Indonesia,4,3,2,5,1,1,"Because human rights abuses are necessary to intervene but have a high possibility to backfire if not educated or understand the cultural values, norms, or even the nature of the atrocity itself.",The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should Intervene,The US Should Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should Intervene,The US Should Intervene
2024-03-12 13:55:42,2024-03-12 13:59:11,IP Address,136.152.215.166,100,208,True,2024-03-12 13:59:11,R_2prZ7WVTY0xYCKl,,,,,37.8736,-122.257,anonymous,EN,8bekd9,18-24 years old,Female,,-1,No,,4,3,2,5,1,1,"I believe basic human rights should be prioritized above all else. ",The US Should Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should Intervene,The US Should Intervene,The US Should Intervene
2024-03-12 13:56:45,2024-03-12 14:01:14,IP Address,136.152.209.150,100,269,True,2024-03-12 14:01:15,R_2YaGp7kehWQ5CEx,,,,,37.8657,-122.2571,anonymous,EN,,18-24 years old,Female,,-1,No,,4,3,1,2,5,-1,"The US should mind their business and quit involving themselves in other countries just to leave them worse off. ",The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should Intervene
2024-03-12 13:58:50,2024-03-12 14:01:28,IP Address,136.152.215.221,100,158,True,2024-03-12 14:01:28,R_5HBbop0A0qJi8gz,,,,,37.8736,-122.257,anonymous,EN,N/A,18-24 years old,Female,,0,No,,2,4,3,5,1,2,N/A,The US Should Intervene,The US Should Intervene,The US Should Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should Intervene,The US Should Intervene,The US Should Intervene
2024-03-12 13:58:46,2024-03-12 14:03:35,IP Address,136.152.215.130,100,288,True,2024-03-12 14:03:35,R_3RPlblFvPLgQQem,,,,,37.8736,-122.257,anonymous,EN,ge5hm9,18-24 years old,Female,,-3,No,,3,2,4,5,1,2,"While human rights and democracy are different topics, I think it is crucial to uphold the rights of individuals when discussing foreign policy to ensure that policy is not focused just on the desires of one country.",The US Should *NOT* Intervene,The US Should Intervene,The US Should Intervene,The US Should Intervene,The US Should Intervene,The US Should *NOT* Intervene,The US Should Intervene,The US Should Intervene,The US Should Intervene
2024-03-12 14:00:52,2024-03-12 14:03:50,IP Address,136.152.215.35,100,178,True,2024-03-12 14:03:51,R_34ZhGNS4Owm9TW1,,,,,37.8736,-122.257,anonymous,EN,rr2jqe,18-24 years old,Female,,-2,No,,2,4,3,5,1,1,I think people have a responsibility to help other people.,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should Intervene,The US Should Intervene
2024-03-12 13:49:59,2024-03-12 14:06:10,IP Address,174.195.134.170,100,971,True,2024-03-12 14:06:11,R_2PddercEeTyEkLy,,,,,33.8789,-117.5353,anonymous,EN,N/A,18-24 years old,Female,,0,No,,4,5,3,1,2,0,Its important to have a peaceful and effective method when dealing with global issues,The US Should Intervene,The US Should *NOT* Intervene,The US Should Intervene,The US Should Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should Intervene,The US Should Intervene,The US Should Intervene
2024-03-12 14:02:54,2024-03-12 14:06:57,IP Address,136.152.215.167,100,242,True,2024-03-12 14:06:57,R_2syweu9wAP6S114,,,,,37.8736,-122.257,anonymous,EN,aaafof,18-24 years old,Female,,-2,No,,3,4,2,5,1,1,"The way in which ""human right abuse"" is defined by the U.S is not always done with the right intentions.",The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should Intervene,The US Should Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should Intervene,The US Should Intervene
2024-03-12 14:03:26,2024-03-12 14:07:09,IP Address,136.152.209.203,100,223,True,2024-03-12 14:07:10,R_7fiwyuZDJjJdjS3,,,,,37.8657,-122.2571,anonymous,EN,k2unca,18-24 years old,Male,,-2,No,,2,5,3,4,1,1,It is the most important to me,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should Intervene,The US Should Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should Intervene,The US Should *NOT* Intervene,The US Should Intervene
2024-03-12 14:02:39,2024-03-12 14:07:33,IP Address,136.152.215.248,100,294,True,2024-03-12 14:07:34,R_7eE4Z50d8iRmJqG,,,,,37.8736,-122.257,anonymous,EN,9zc9ot,18-24 years old,Male,,-3,No,,5,3,2,4,1,-2,The US has an abundance of unresolved human rights issues and has not reconciled its history with slavery and colonialism.,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should Intervene,The US Should Intervene
2024-03-12 14:04:38,2024-03-12 14:07:36,IP Address,136.152.215.71,100,178,True,2024-03-12 14:07:36,R_7e8ndYlNIA5Yfp6,,,,,37.8736,-122.257,anonymous,EN,7ym7i0,18-24 years old,Male,,-3,No,,5,1,2,4,3,-1,I believe the government intervention is currently our best bet for counteracting the exploitative nature of capitalism,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene
2024-03-12 14:06:06,2024-03-12 14:10:35,IP Address,107.115.33.45,100,268,True,2024-03-12 14:10:35,R_2qxwmW2FzhSg1QQ,,,,,36.7405,-119.7508,anonymous,EN,t2ic40,18-24 years old,Female,,-2,No,,2,3,4,5,1,1,"it was important ",The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should Intervene,The US Should Intervene,The US Should *NOT* Intervene,The US Should Intervene,The US Should *NOT* Intervene,The US Should Intervene,The US Should Intervene
2024-03-12 15:04:50,2024-03-12 15:07:45,IP Address,136.24.201.207,100,174,True,2024-03-12 15:07:45,R_2xblhMgOiabbLln,,,,,37.8657,-122.2571,anonymous,EN,N/A,18-24 years old,Male,,1,Yes,CHINA INDONESIA UAE CANADA,1,5,4,2,3,-1,"I value safety of myself, people around me and my property",The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene
2024-03-12 14:03:46,2024-03-12 16:40:46,IP Address,99.149.248.126,100,9420,True,2024-03-12 16:40:47,R_7FKWyEudodFFSuZ,,,,,37.589,-122.0461,anonymous,EN,9w2at7,18-24 years old,Female,,-2,No,,4,5,2,3,1,0,I believe that every human has a right to live peacefully and its important to grant these rights before we can make other meaningful changes as it would not be worthwhile unless every other human were granted the same rights.,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should Intervene,The US Should Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should Intervene,The US Should Intervene
2024-03-12 14:00:54,2024-03-12 17:09:00,IP Address,136.152.215.125,100,11286,True,2024-03-12 17:09:00,R_5Ysr6CnchDxDcF6,,,,,37.8906,-122.2936,anonymous,EN,oipkup,18-24 years old,Male,,-3,No,,4,5,2,3,1,1,Given recent events in Ukraine and Gaza,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should Intervene,The US Should Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should Intervene,The US Should Intervene
